	seq1	seq2	TREEDIST_stem-to-root	TREEDIST_seq1-to-root	TREEDIST_seq2-to-root	TREEDIST_seq1-to-seq2
0	A0A2S7SWD7_9BACT/17-359	A0A1Z5SHD2_9BACT/16-359	0.10914	0.51203	0.36926000000000003	0.6630100000000001
1	A0A2U2XB68_9FLAO/16-357	A0A2I0R5H1_9FLAO/2-343	2.33174	2.4616	2.517	0.31512
2	F2IHZ3_FLUTR/59-401	A0A1I6YFH0_9FLAO/15-357	1.66194	2.52636	2.56202	1.7645
3	A0A2W1NNM3_9FLAO/18-360	A0A0S2I3X9_9BACT/15-357	1.25772	2.2930099999999998	2.9774599999999998	2.75503
4	A0A3N6ZUL8_9BACT/17-378	A0A2P7TDS0_9SPHI/18-358	0.3563	0.50427	2.27247	2.06414
5	A0A2P8DBI9_9BACT/4-368	A0A5M6CQH9_9BACT/18-382	0.22643	0.37171	0.44557	0.36441999999999997
6	A0A4Q2ZJ20_9SPHI/18-359	A0A2W2B5E1_9BACT/18-360	0.0	0.40296	0.29276	0.69572
