dataset	random_seed	model_type	sub_model	indel_model	num_domains	num_fragments	num_sites	num_rate_mults	parameters	sum_joint_loglikes	joint_ave_loss	joint_ece	sum_cond_loglikes	cond_ave_loss	cond_ece	sum_anc_loglikes	anc_ave_loss	anc_ece	aic	bic
data2	21	pairhmm_domain_mix	f81	tkf92	3	3	3	4	812	551976416	665.7537289	111.5604095	207402713.6	250.1540386	5.859214306	344573706.8	415.5996949	18.97525406	1103954456	1103963898
data2	2843	pairhmm_fragment_mix	f81	tkf92	1	30	30	4	26162	552451610	666.3268725	111.5638657	209489410.1	252.6708601	5.9498353	342962200	413.6560125	18.68739128	1104955544	1105259762
data2	2844	pairhmm_fragment_mix	f81	tkf92	1	20	20	4	11642	552766147.2	666.7062443	111.8550339	209594726.4	252.7978849	5.955259323	343171420.8	413.9083594	18.71894455	1105555578	1105690954
data2	24	pairhmm_fragment_mix	f81	tkf92	1	10	10	4	2922	553697553.6	667.8296388	112.6575699	210081693.6	253.3852293	5.979402542	343615859.9	414.4444095	18.77686501	1107400951	1107434929
data2	2842	pairhmm_fragment_mix	f81	tkf92	1	5	5	4	737	556074602.9	670.6966637	115.0864029	211766652.2	255.4175039	6.06663084	344307950.9	415.2791589	18.90561295	1112150680	1112159250
data2	3821	pairhmm_domain_mix	f81	tkf92	2	2	2	4	248	556574539	671.2996464	115.9828415	211300331.3	254.8550615	6.056921005	345274213.8	416.4445948	19.08322906	1113149574	1113152458
data2	2841	pairhmm_fragment_mix	f81	tkf92	1	4	4	4	474	557450191.8	672.3557975	116.3347931	212430097.4	256.217703	6.097558498	345020094	416.1380949	19.01360321	1114901332	1114906843
data2	9074	pairhmm_site_mix	f81	tkf92	1	1	900	4	26103	558506112.6	673.7106306	117.133606	213097047.9	257.0531342	6.111548424	345409066.1	416.6574985	19.10008812	1117064431	1117367963
data2	574	pairhmm_site_mix	f81	tkf92	1	1	500	4	14503	558509030	673.714149	117.1183014	213099244.3	257.0557831	6.111213684	345409784.8	416.6583651	19.09864616	1117047066	1117215710
data2	374	pairhmm_site_mix	f81	tkf92	1	1	175	4	5078	558516182	673.7227788	117.1323776	213108216.2	257.0666049	6.111853123	345407966.5	416.6561724	19.09892273	1117042520	1117101568
data2	243	pairhmm_site_mix	f81	tkf92	1	1	30	4	873	558538273.5	673.7494218	117.1479111	213127754.4	257.0901737	6.112894535	345410512.5	416.6592411	19.09822655	1117078293	1117088444
data2	244	pairhmm_site_mix	f81	tkf92	1	1	20	4	583	558609613.3	673.8354804	117.22715	213199296.2	257.1764731	6.116716385	345410312.6	416.659002	19.0992012	1117220393	1117227172
data2	22	pairhmm_fragment_mix	f81	tkf92	1	3	3	4	269	559018804	674.2477424	117.8846054	213645607.1	257.6837619	6.160066605	345373196.4	416.563981	19.07126236	1118038146	1118041274
data2	25	pairhmm_site_mix	f81	tkf92	1	1	10	4	293	559000278.5	674.3067291	117.6177444	213588300.6	257.6457184	6.136940002	345411977.3	416.6610099	19.09968758	1118001143	1118004550
data2	242	pairhmm_site_mix	f81	tkf92	1	1	5	4	148	561051304	676.7808274	119.8144684	215641223.5	260.1221032	6.25138855	345410082.3	416.6587238	19.10020638	1122102904	1122104625
data2	241	pairhmm_site_mix	f81	tkf92	1	1	4	4	119	562367982	678.3690963	121.2238007	216934798.3	261.6825076	6.323782921	345433185.5	416.6865946	19.10360527	1124736202	1124737586
data2	2840	pairhmm_fragment_mix	f81	tkf92	1	2	2	4	122	563272609.5	679.3783722	122.3541946	217819636.9	262.7181715	6.388878345	345452971.6	416.6602004	19.08539391	1126545463	1126546882
data2	23	pairhmm_site_mix	f81	tkf92	1	1	3	4	90	563970978	680.3027499	122.9359131	218530007.5	263.6067639	6.41236496	345440973	416.6959861	19.10579491	1127942136	1127943183
data2	240	pairhmm_site_mix	f81	tkf92	1	1	2	4	61	567004021.5	683.9614261	126.3065948	221447939	267.1265869	6.583067417	345556082	416.8348385	19.12062836	1134008165	1134008874
data2	27	pairhmm_reference	f81	tkf92	1	1	1	4	11	575958984.5	694.7635527	136.6076355	230549657	278.105737	7.127441883	345409333.5	416.6578224	19.10057068	1151917991	1151918119
data2	26	pairhmm_reference	f81	tfk91	1	1	1	4	10	587517673	708.706483	149.0459747	242120976.5	292.0639028	7.778404713	345396691.5	416.6425702	19.09565926	1175035366	1175035482
data3	30	pairhmm_domain_mix	f81	tkf92	10	10	10	4	29232	547857661.9	669.1015368	106.7579651	204665461.1	249.9590388	5.710105896	343192200.4	419.1424975	18.62701225	1095773788	1096113339
data3	5631	pairhmm_domain_mix	f81	tkf92	5	5	5	4	3692	550049900.4	671.778929	108.8352356	206055344.9	251.6565115	5.777392864	343994555.2	420.1224175	18.76774788	1100107185	1100150070
data3	4731	pairhmm_domain_mix	f81	tkf92	4	4	4	4	1902	551045440.6	672.994787	109.825325	206728927.4	252.4791616	5.8104105	344316511.4	420.5156246	18.83054733	1102094685	1102116778
data3	31	pairhmm_domain_mix	f81	tkf92	3	3	3	4	812	553258669.5	675.6978175	111.7732925	208426355.5	254.5522408	5.888719082	344832313	421.145576	18.90942764	1106518963	1106528395
data3	3843	pairhmm_fragment_mix	f81	tkf92	1	30	30	4	26162	554124829.4	676.7556625	112.113533	210489941.3	257.0725081	5.97999239	343634888.1	419.6831544	18.67819786	1108301983	1108605874
data3	3844	pairhmm_fragment_mix	f81	tkf92	1	20	20	4	11642	554475709.7	677.1841945	112.4022141	210634442.2	257.2489878	5.987252235	343841267.3	419.9352064	18.70346832	1108974703	1109109934
data3	34	pairhmm_fragment_mix	f81	tkf92	1	10	10	4	2922	555433168	678.3535435	113.306366	211106237	257.8251934	6.012262821	344326931	420.5283502	18.77511024	1110872180	1110906121
data3	3842	pairhmm_fragment_mix	f81	tkf92	1	5	5	4	737	557958893.3	681.4382263	115.8600311	212866631.7	259.9751729	6.100753307	345092260.1	421.4630508	18.91950035	1115919261	1115927821
data3	3831	pairhmm_domain_mix	f81	tkf92	2	2	2	4	248	558290696	681.8434586	116.7016525	212496296	259.5228805	6.097432137	345794399	422.3205757	19.06714249	1116581888	1116584769
data3	3841	pairhmm_fragment_mix	f81	tkf92	1	4	4	4	474	559198950.5	682.9527152	117.0753174	213640670.9	260.9205113	6.142455101	345558281	422.0322053	18.98791313	1118398849	1118404355
data3	9075	pairhmm_site_mix	f81	tkf92	1	1	900	4	26103	560297002.9	684.3773542	117.8644867	214186246	261.6187764	6.146848679	346110756.3	422.7585779	19.10199547	1120646212	1120949418
data3	575	pairhmm_site_mix	f81	tkf92	1	1	500	4	14503	560299441.4	684.3803324	117.8942261	214188463.7	261.6214858	6.147369862	346110979.3	422.7588503	19.10518456	1120627889	1120796352
data3	375	pairhmm_site_mix	f81	tkf92	1	1	175	4	5078	560301731	684.3831282	117.889389	214192177.6	261.6260208	6.147459984	346109553.3	422.7571089	19.10414696	1120613618	1120672603
data3	343	pairhmm_site_mix	f81	tkf92	1	1	30	4	873	560326207	684.4130221	117.9090118	214216948.6	261.6562763	6.148772717	346109260.4	422.7567509	19.1032486	1120654160	1120664301
data3	344	pairhmm_site_mix	f81	tkf92	1	1	20	4	583	560364756.5	684.4601128	117.9412842	214254659.4	261.7023406	6.150635242	346110096.4	422.7577714	19.10268021	1120730679	1120737451
data3	35	pairhmm_site_mix	f81	tkf92	1	1	10	4	293	560760637.8	684.9436639	118.3502274	214649619.7	262.1847666	6.171484947	346111017.3	422.7588961	19.10414696	1121521862	1121525265
data3	32	pairhmm_fragment_mix	f81	tkf92	1	3	3	4	269	560920783.6	685.0555975	118.7142792	214849547.1	262.3969183	6.20051527	346071235.3	422.6586788	19.07331657	1121842105	1121845230
data3	342	pairhmm_site_mix	f81	tkf92	1	1	5	4	148	563060861.5	687.7532781	120.7775192	216921308.3	264.9595303	6.296474934	346139544.8	422.7937425	19.10891533	1126122019	1126123738
data3	341	pairhmm_site_mix	f81	tkf92	1	1	4	4	119	564153031	689.0873171	121.9842224	218025317.3	266.3080279	6.360169411	346127713.3	422.7792899	19.10656548	1128306300	1128307682
data3	3840	pairhmm_fragment_mix	f81	tkf92	1	2	2	4	122	564995048.3	690.0315196	123.0814362	218843119.2	267.2742898	6.423392773	346151927.9	422.7572292	19.08878517	1129990341	1129991758
data3	33	pairhmm_site_mix	f81	tkf92	1	1	3	4	90	565736240.5	691.0211352	123.6996994	219595265	268.2256485	6.44868803	346140975.3	422.7954885	19.10930252	1131472661	1131473706
data3	340	pairhmm_site_mix	f81	tkf92	1	1	2	4	61	568788883.5	694.7497994	127.1118011	222531503	271.8121311	6.621155739	346257385.8	422.9376796	19.12491417	1137577889	1137578598
data3	37	pairhmm_reference	f81	tkf92	1	1	1	4	11	577658484	705.5836172	137.3764801	231548757.5	282.8262974	7.163696766	346109724.5	422.7573169	19.10397339	1155316990	1155317118
data3	36	pairhmm_reference	f81	tfk91	1	1	1	4	10	589597347	720.1663943	150.443985	243500057.3	297.4242664	7.846764565	346097293.5	422.7421342	19.09996986	1179194714	1179194830
